100,21
76,75
30,9
97,85
78,74
1,13
86,55
23,67
38,68
43,30
7,1
20,66
4,62
10,64
22,62
68,58
93,71
11,40
36,64
22,0
82,43
49,65
39,17
11,82
39,50
95,17
18,17
45,25
67,41
25,38
88,51
1,57
79,4
92,17
24,83
15,67
99,92
80,11
34,11
6,73
32,22
79,50
100,68
31,71
22,8
86,36
85,18
18,51
46,7
73,47
23,90
50,86
86,44
81,63
77,60
46,88
27,100
74,66
24,86
43,24
45,42
37,79
17,15
84,91
99,56
82,67
1,95
61,84
15,60
9,89
95,99
1,67
72,86
95,76
88,44
49,86
68,36
60,64
51,87
5,36
95,65
85,48
2,31
28,66
26,23
64,12
3,62
71,82
30,71
84,92
15,80
13,12
62,23
3,56
42,89
19,42
83,71
13,14
51,20
53,9
